Objectid ;Straat ;Type_en_merk ;Aantal ;Lon;Lat;geo_point_2d
5869;Winkelcentrum Woensel;Parkeerplaats;1;5,473875387;51,46894486;"51,4689448625;5,47387538744"
5873;Winkelcentrum Woensel;Parkeerplaats;1;5,472963547;51,46882236;"51,4688223571;5,47296354721"
5874;Winkelcentrum Woensel;Parkeerplaats;1;5,472994225;51,4688196;"51,468819602;5,4729942254"
5875;Winkelcentrum Woensel;Parkeerplaats;1;5,473027096;51,46881958;"51,4688195778;5,47302709629"
5876;Winkelcentrum Woensel;Parkeerplaats;1;5,47306434;51,46881818;"51,468818175;5,47306433969"
5877;Winkelcentrum Woensel;Parkeerplaats;1;5,473090634;51,46881816;"51,4688181556;5,47309063352"
5878;Winkelcentrum Woensel;Parkeerplaats;1;5,473123504;51,46881813;"51,4688181314;5,47312350441"
5881;Winkelcentrum Woensel;Parkeerplaats;1;5,473239641;51,46881531;"51,4688153131;5,47323964113"
5883;Winkelcentrum Woensel;Parkeerplaats;1;5,473301005;51,4688139;"51,4688139015;5,4733010052"
5884;Winkelcentrum Woensel;Parkeerplaats;1;5,473331674;51,46881388;"51,4688138788;5,47333167414"
6144;St Lambertusstraat;Parkeerplaats;1;5,47131559;51,43353593;"51,4335359261;5,47131559036"
6147;St Lambertusstraat;Parkeerplaats;1;5,471272218;51,43359031;"51,433590312;5,47127221778"
6148;St Lambertusstraat;Parkeerplaats;1;5,471235792;51,43359842;"51,4335984191;5,47123579203"
6150;St Lambertusstraat;Parkeerplaats Vergunning;1;5,471337031;51,43369164;"51,4336916394;5,47133703148"
6152;St Lambertusstraat;Parkeerplaats Vergunning;1;5,471398121;51,43367617;"51,4336761707;5,47139812103"
6414;Michelangelolaan;Parkeerplaats Vergunning;1;5,470765742;51,46434214;"51,4643421384;5,4707657417"
6415;Rodinstraat;Parkeerplaats Vergunning;1;5,471272848;51,46427017;"51,4642701742;5,47127284795"
6417;Rodinstraat;Parkeerplaats Vergunning;1;5,471284846;51,4638944;"51,4638944019;5,47128484579"
6418;Rodinstraat;Parkeerplaats Vergunning;1;5,471292549;51,46394196;"51,4639419616;5,47129254885"
6420;Rodinstraat;Parkeerplaats Vergunning;1;5,471280051;51,46404661;"51,4640466139;5,47128005105"
6422;Rodinstraat;Parkeerplaats Vergunning;1;5,471285325;51,46415442;"51,4641544236;5,47128532535"
6425;Rodinstraat;Parkeerplaats Vergunning;1;5,471281779;51,46367262;"51,4636726153;5,47128177889"
6427;Dupuislaan;Parkeerplaats Vergunning;1;5,472090631;51,46385905;"51,4638590455;5,47209063072"
6430;Dupuislaan;Parkeerplaats Vergunning;1;5,471735244;51,46384377;"51,4638437663;5,4717352436"
6437;Dupuislaan;Parkeerplaats Vergunning;1;5,472581021;51,46385647;"51,4638564676;5,47258102143"
6438;Dupuislaan;Parkeerplaats Vergunning;1;5,472652098;51,46385863;"51,4638586348;5,47265209754"
6440;Dupuislaan;Parkeerplaats Vergunning;1;5,472790697;51,46386297;"51,4638629725;5,47279069682"
6707;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,472795202;51,43741145;"51,4374114514;5,47279520248"
6710;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,473173921;51,43726277;"51,4372627692;5,47317392141"
6711;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,473132847;51,43727422;"51,4372742152;5,47313284681"
6718;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,473757623;51,43708827;"51,4370882709;5,47375762316"
6722;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474531104;51,43748031;"51,4374803067;5,47453110357"
6723;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474513311;51,43746288;"51,4374628794;5,47451331141"
6728;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474419251;51,43735831;"51,4373583064;5,47441925075"
6729;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474383686;51,43733297;"51,4373329653;5,47438368625"
6731;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474343016;51,43729019;"51,4372901872;5,47434301599"
6733;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474304877;51,43724424;"51,4372442359;5,47430487671"
6736;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474248943;51,43717927;"51,4371792726;5,47424894254"
5888;Winkelcentrum Woensel;Parkeerplaats;1;5,473452203;51,46881241;"51,4688124143;5,47345220291"
5894;Winkelcentrum Woensel;Parkeerplaats;1;5,473653793;51,46880679;"51,4688067907;5,47365379292"
5896;Winkelcentrum Woensel;Parkeerplaats;1;5,473717345;51,46880538;"51,4688053772;5,47371734453"
5902;Winkelcentrum Woensel;Parkeerplaats;1;5,473921139;51,46880112;"51,4688011178;5,47392113902"
5905;Winkelcentrum Woensel;Parkeerplaats;1;5,474030699;51,4687983;"51,4687983036;5,4740306986"
5907;Winkelcentrum Woensel;Parkeerplaats;1;5,472926202;51,46877722;"51,4687772167;5,47292620183"
6162;St Lambertusstraat;Parkeerplaats;1;5,47106182;51,43357798;"51,4335779785;5,4710618199"
6165;Gestelsestraat;Parkeerplaats;1;5,471892061;51,43334573;"51,4333457301;5,47189206077"
6166;Gestelsestraat;Parkeerplaats laden/lossen;1;5,47192258;51,43328585;"51,4332858523;5,47192258031"
6171;Gestelsestraat;Parkeerplaats;1;5,471978973;51,43339753;"51,4333975315;5,47197897282"
6172;Gestelsestraat;Parkeerplaats;1;5,472006971;51,43335043;"51,4333504284;5,47200697066"
6173;Gestelsestraat;Parkeerplaats;1;5,472031154;51,43330892;"51,4333089191;5,47203115359"
6181;Willemstraat;Parkeerplaats;1;5,473051306;51,43838684;"51,4383868439;5,47305130578"
6182;Willemstraat;Parkeerplaats;1;5,473196396;51,43837299;"51,4383729931;5,47319639619"
6185;Willemstraat;Parkeerplaats;1;5,4734983;51,4383462;"51,4383461991;5,47349829996"
6188;Willemstraat;Parkeerplaats Gehandicapten;1;5,474037613;51,43829817;"51,438298167;5,47403761292"
6189;Willemstraat;Parkeerplaats Gehandicapten;1;5,474140212;51,43828892;"51,438288922;5,47414021219"
6191;Hof van Eden;Parkeerplaats;1;5,473955548;51,43358672;"51,4335867157;5,47395554835"
6192;Hof van Eden;Parkeerplaats;1;5,473986268;51,43360313;"51,4336031331;5,47398626799"
6193;Hof van Eden;Parkeerplaats;1;5,474010413;51,43361819;"51,4336181891;5,47401041307"
6194;Hof van Eden;Parkeerplaats;1;5,474034566;51,43363736;"51,4336373619;5,47403456601"
6442;Tetrodestraat;Parkeerplaats Vergunning;1;5,47080886;51,46356785;"51,4635678534;5,4708088601"
6443;Tetrodestraat;Parkeerplaats Vergunning;1;5,470910394;51,46356937;"51,4635693651;5,47091039413"
6444;Tetrodestraat;Parkeerplaats Vergunning;1;5,470984014;51,46357565;"51,4635756545;5,47098401427"
6445;Tetrodestraat;Parkeerplaats Vergunning;1;5,471080483;51,46358351;"51,4635835122;5,47108048315"
6450;Tramstraat;Parkeerplaats Vergunning;1;5,4833963;51,43963437;"51,4396343681;5,48339629988"
6451;Tramstraat;Parkeerplaats Vergunning;1;5,4833964;51,43968193;"51,4396819334;5,4833964002"
6452;Tramstraat;Parkeerplaats Vergunning;1;5,483356498;51,44000858;"51,4400085797;5,48335649822"
6457;Tramstraat;Parkeerplaats Vergunning;1;5,483495679;51,43984199;"51,4398419872;5,48349567908"
6461;Tramstraat;Parkeerplaats Vergunning;1;5,48338903;51,4397961;"51,4397960956;5,48338902968"
6463;Tramstraat;Parkeerplaats Vergunning;1;5,483368988;51,43991661;"51,4399166098;5,48336898842"
6743;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474408645;51,4371189;"51,4371189038;5,47440864523"
6744;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474423896;51,43713475;"51,4371347475;5,4744238958"
6745;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474449318;51,43716327;"51,4371632674;5,47444931843"
6747;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474317112;51,43700957;"51,437009573;5,47431711195"
6749;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474497624;51,43721872;"51,4372187237;5,4744976238"
6751;Heilige Geeststraat;Parkeerplaats Vergunning;1;5,474530663;51,43725041;"51,4372504092;5,47453066347"
