OBJECTID;Categorie;Adres ;Aanduiding ;Naam;Complex;Bouwjaar ;Architect ;Datum aanwijzing;Object nummer;Meer informatie;SHAPE.AREA;SHAPE.LEN;geo_shape;geo_point_2d
549;Cultuurhistorisch pand;Don Boscostraat 2;;;;;;;CP0257;https://beeldmateriaal.eindhoven.nl/monumenten/CP0257.pdf;578.64362088;134.850328182695;"{""type"": ""Polygon"", ""coordinates"": [[[5.476816698818053, 51.433979941773075], [5.476111105914207, 51.43415588611454], [5.476165579300695, 51.43424293936297], [5.476770237135195, 51.43409121239726], [5.476792654148296, 51.43412643075289], [5.47689390346396, 51.434101247403895], [5.476816698818053, 51.433979941773075]]]}";51.4341104832,5.47650945235
571;Cultuurhistorisch pand;Stadhuisplein 1;;;;;;;CP0187;https://beeldmateriaal.eindhoven.nl/monumenten/CP0187.pdf;3079.41321262;283.274295020262;"{""type"": ""Polygon"", ""coordinates"": [[[5.480177030318686, 51.435049385494516], [5.480403339089014, 51.43515831804651], [5.480737700832169, 51.43531913590603], [5.481053316445266, 51.435062857427894], [5.481155005752476, 51.435111781656275], [5.481084927292222, 51.43516817921452], [5.481205607545046, 51.43522631405714], [5.4813024431166415, 51.4352728564818], [5.481552127746445, 51.43507012153835], [5.481433726119793, 51.4350130126148], [5.481335389323559, 51.43496565084654], [5.481270897042931, 51.43501790920905], [5.481002513603024, 51.434888743685796], [5.480793106275155, 51.43478795952541], [5.480608625222386, 51.434699173748115], [5.480177030318686, 51.435049385494516]]]}";51.4350297501,5.48080551478
575;Cultuurhistorisch pand;Hoogstraat 10A,10B,10C,10D;Winkel/woonhuis;;;;;;CP0279;https://beeldmateriaal.eindhoven.nl/monumenten/CP0279.pdf;160.15533585;69.7123027204089;"{""type"": ""Polygon"", ""coordinates"": [[[5.472517762211972, 51.43514565979127], [5.472563342939087, 51.4351800080492], [5.472467810620454, 51.43523493595955], [5.472495601703944, 51.435253836755486], [5.472669981222419, 51.435152507137694], [5.472782538008533, 51.4350863199141], [5.472782546647326, 51.43508632530097], [5.472788097409334, 51.43508306192572], [5.47272110157115, 51.43504024418448], [5.472569882291059, 51.43511864026771], [5.472517762211972, 51.43514565979127]]]}";51.4351343006,5.4726322121
577;Cultuurhistorisch pand;Hoogstraat 6, 8;;;;;;;CP0192;https://beeldmateriaal.eindhoven.nl/monumenten/CP0192.pdf;75.84140817;36.112146459330695;"{""type"": ""Polygon"", ""coordinates"": [[[5.472780715407246, 51.43522175091844], [5.472853234413213, 51.43526327828124], [5.472875100637795, 51.43524926502292], [5.472903050107183, 51.435232956966885], [5.472922373093977, 51.435221680826075], [5.472941796631398, 51.43521034708046], [5.472954971187823, 51.43520265924818], [5.472968991865508, 51.43519447821152], [5.472901621597047, 51.435151561974585], [5.472885072315611, 51.435161066199946], [5.472885065133451, 51.435161070699586], [5.472885072332493, 51.43516107518863], [5.472780715407246, 51.43522175091844]]]}";51.4352075837,5.47287560966
584;Cultuurhistorisch pand;Grote Berg 71 t/m 79A;;;;;;;CP0191;https://beeldmateriaal.eindhoven.nl/monumenten/CP0191.pdf;383.93718338;98.6208675057643;"{""type"": ""Polygon"", ""coordinates"": [[[5.475081295710547, 51.43550419824635], [5.47512118629731, 51.43542794415942], [5.475067637411045, 51.435416640889315], [5.47509198438377, 51.43537158025774], [5.47503714072334, 51.43535999930244], [5.475034896615453, 51.43536415286483], [5.474997484461059, 51.43535628993395], [5.474947719578544, 51.43534582868982], [5.474923559139171, 51.43539073634323], [5.474865607993001, 51.435378555408136], [5.474807656877868, 51.4353663744442], [5.474832161342068, 51.43532082835987], [5.474801420536637, 51.435314369767276], [5.474772311229176, 51.43530825330645], [5.474766121136654, 51.435321527944126], [5.474740262211772, 51.435376984148235], [5.474705397320404, 51.43545175389189], [5.47481394791072, 51.43547455739725], [5.47492168286449, 51.435497191530374], [5.474958798735741, 51.43550498639501], [5.474997087170039, 51.435513027551906], [5.475068427164063, 51.43552800997234], [5.475081295710547, 51.43550419824635]]]}";51.43542642,5.47491918656
597;Cultuurhistorisch pand;Paradijslaan 16;;;;;;;CP0260;https://beeldmateriaal.eindhoven.nl/monumenten/CP0260.pdf;129.9759656;45.6064241647916;"{""type"": ""Polygon"", ""coordinates"": [[[5.478002758405785, 51.43549067506315], [5.478002869025093, 51.43549711895799], [5.478160808091738, 51.435504708827224], [5.478169363085029, 51.435395588615776], [5.478017861075477, 51.43539070022619], [5.478002758405785, 51.43549067506315]]]}";51.4354474689,5.4780877152
603;Cultuurhistorisch pand;Kleine Berg 74, 74A;;;;;;;CP0209;https://beeldmateriaal.eindhoven.nl/monumenten/CP0209.pdf;105.69779409499999;47.38938330201759;"{""type"": ""Polygon"", ""coordinates"": [[[5.473377015455128, 51.43565133181086], [5.473429701794618, 51.43569332383022], [5.473408681323203, 51.43570362244536], [5.473418158533943, 51.43571117490038], [5.47342994034832, 51.43570540443188], [5.473462908267525, 51.435688712303055], [5.473530512112022, 51.43565448454139], [5.4736036444901135, 51.4356174562597], [5.473580914173669, 51.43559814388623], [5.473543995457901, 51.43556677743603], [5.473377015455128, 51.43565133181086]]]}";51.4356353029,5.47348960506
608;Cultuurhistorisch pand;Willem de Zwijgerstraat 2D,2E,2F;;;;;;;CP0305;https://beeldmateriaal.eindhoven.nl/monumenten/CP0305.pdf;65.8064743;36.2008283703722;"{""type"": ""Polygon"", ""coordinates"": [[[5.472133138975173, 51.435664138191505], [5.472165895264701, 51.43566175925001], [5.472261614038409, 51.43555960495767], [5.472115620298854, 51.43557023910312], [5.472133138975173, 51.435664138191505]]]}";51.4356035858,5.47217319616
609;Cultuurhistorisch pand;Willem de Zwijgerstraat 2;;;;;;;CP0303;https://beeldmateriaal.eindhoven.nl/monumenten/CP0303.pdf;48.6162251;28.4234070370057;"{""type"": ""Polygon"", ""coordinates"": [[[5.472296696758943, 51.43565571318379], [5.472373495425061, 51.43568003429092], [5.472402704273813, 51.435644007877784], [5.472402694200161, 51.435644004289685], [5.4724285498404495, 51.43561212949679], [5.472357536605581, 51.435589979452054], [5.472296696758943, 51.43565571318379]]]}";51.4356349262,5.47236369993
610;Cultuurhistorisch pand;Mauritsstraat 57,59,61,63,63A;;;;;;;CP0212;https://beeldmateriaal.eindhoven.nl/monumenten/CP0212.pdf;272.16059755;76.2262698450898;"{""type"": ""Polygon"", ""coordinates"": [[[5.470910072445081, 51.435865507712045], [5.470887780200292, 51.43588061572787], [5.4708824246476855, 51.43587752747494], [5.470816754346902, 51.43592202366884], [5.470822009115074, 51.43592504907646], [5.470778315022498, 51.435954653200724], [5.470773074651726, 51.43595163676947], [5.470740569747263, 51.43597364640324], [5.4706839898770845, 51.436011169774034], [5.470808002935924, 51.436082738458325], [5.470836658861745, 51.43606357199304], [5.470823903396048, 51.436056219434995], [5.4708514097547525, 51.43603758412376], [5.470878930472414, 51.43601894879571], [5.470891066891257, 51.436025951234676], [5.470943008564783, 51.43599076456062], [5.470966275123425, 51.43600421195159], [5.471050526352788, 51.43594726555871], [5.470991351667932, 51.43591237099935], [5.470910072445081, 51.435865507712045]]]}";51.4359713621,5.47086616439
