Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Antoon Coolenlaan;161166.3839;380882.2258;Active locatie;vrij parkeren;51.4170332878;5.47584409521;51.4170332878,5.47584409521
Apparatenstraat;159946.7178;384335.0689;Active locatie;betaald parkeren;51.4480817846;5.45835922876;51.4480817846,5.45835922876
Deken van Somerenstraat;161109.111;382813.764;Active locatie;vergunningsplichtig parkeren;51.4343958701;5.47505420981;51.4343958701,5.47505420981
Europalaan;161551.03;385375.122;Active locatie;vrij parkeren;51.4574140581;5.48145698156;51.4574140581,5.48145698156
Frans Leharplein;160229.7214;381587.0987;Active locatie;vrij parkeren;51.4233786397;5.46238959183;51.4233786397,5.46238959183
Gagelstraat;160700.848;383470.509;Active locatie;betaald parkeren;51.4403034127;5.46919361531;51.4403034127,5.46919361531
Kastelenplein;158613.7066;381034.9615;Active locatie;vrij parkeren;51.4184283542;5.43914975815;51.4184283542,5.43914975815
Madernolaan;160078.6129;386409.7355;Active locatie;vrij parkeren;51.4667290598;5.46028644569;51.4667290598,5.46028644569
Pietersbergweg;160074.411;388007.218;Active locatie;vrij parkeren;51.4810882953;5.46024899977;51.4810882953,5.46024899977
Sint Petrus Canisiuslaan;163488.6927;382084.0547;Active locatie;vrij parkeren;51.4278059151;5.50925722673;51.4278059151,5.50925722673
Sumatralaan;162622.5552;384910.8616;Active locatie;vrij parkeren;51.4532274882;5.49686426147;51.4532274882,5.49686426147
Torenallee;159987.115;384038.038;Active locatie;betaald parkeren;51.4454115187;5.4589361554;51.4454115187,5.4589361554
Winkelcentrum Woensel;161288.2547;386679.4327;Active locatie;betaald parkeren;51.4691410405;5.47769939097;51.4691410405,5.47769939097
Tramstraat;161681.2477;383489.3367;Active locatie;vergunningsplichtig parkeren;51.4404618619;5.48329485964;51.4404618619,5.48329485964
Jacques Perkstraat;161704.3227;381368.6856;Active locatie;vrij parkeren;51.4213997688;5.48358644999;51.4213997688,5.48358644999
Hugo Verrierstraat;161156.258;382610.793;Active locatie;betaald parkeren;51.4325709185;5.47572868728;51.4325709185,5.47572868728
Hurksestraat;159144.0704;382293.5382;Active locatie;vrij parkeren;51.4297376377;5.44678898434;51.4297376377,5.44678898434
Klundertstraat;158386.2;383342.595;Active locatie;vrij parkeren;51.4391723418;5.43590127896;51.4391723418,5.43590127896
Puthof;158918.453;380737.556;Active locatie;vrij parkeren;51.4157530293;5.44352745617;51.4157530293,5.44352745617
Pasteurlaan 2;162188.246;380511.491;Active locatie;vrij parkeren;51.4136887583;5.49052626344;51.4136887583,5.49052626344
Biarittzplein 35;159351.975;388267.348;Active locatie;vrij parkeren;51.4834325753;5.4498522619;51.4834325753,5.4498522619
Rigoletto 19;161292.339;389086.55;Active locatie;vrij parkeren;51.4907776934;5.47780122897;51.4907776934,5.47780122897
Gerritsonplein 86;160273.1469;386789.7463;Active locatie;vrij parkeren;51.4701430495;5.46309170065;51.4701430495,5.46309170065
Barjstraat;159503.5862;383324.5023;Voorkeurslocatie;vrij parkeren;51.4390018681;5.45197177825;51.4390018681,5.45197177825
Klimoplaan;160015.9001;383518.3893;Voorkeurslocatie;vrij parkeren;51.4407403176;5.45934282797;51.4407403176,5.45934282797
Langdonkenstraat;160318.4913;383414.3021;Voorkeurslocatie;betaald parkeren;51.4398019328;5.46369340888;51.4398019328,5.46369340888
Busken Huetstraat;160802.3755;381943.2423;Voorkeurslocatie;vrij parkeren;51.4265742865;5.4706287552;51.4265742865,5.4706287552
