Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
5869;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47387538744003, 51.46894486245579]}";51.4689448625,5.47387538744
5873;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.4729635472082965, 51.46882235713976]}";51.4688223571,5.47296354721
5874;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472994225397569, 51.46881960198875]}";51.468819602,5.4729942254
5875;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473027096285147, 51.46881957776405]}";51.4688195778,5.47302709629
5876;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47306433969033, 51.46881817504178]}";51.468818175,5.47306433969
5877;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473090633521186, 51.4688181556491]}";51.4688181556,5.47309063352
5878;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47312350440765, 51.468818131397256]}";51.4688181314,5.47312350441
5881;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473239641127111, 51.46881531308779]}";51.4688153131,5.47323964113
5883;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473301005204809, 51.46881390145277]}";51.4688139015,5.4733010052
5884;Winkelcentrum Woensel;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473331674141888, 51.46881387877051]}";51.4688138788,5.47333167414
6144;St Lambertusstraat;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.471315590364832, 51.43353592610854]}";51.4335359261,5.47131559036
6147;St Lambertusstraat;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.471272217779989, 51.43359031196898]}";51.433590312,5.47127221778
6148;St Lambertusstraat;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.471235792025583, 51.43359841909639]}";51.4335984191,5.47123579203
6150;St Lambertusstraat;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.471337031479463, 51.43369163941007]}";51.4336916394,5.47133703148
